time,value,n
2006-01-01,27,1
2006-01-08,0,1
2006-01-15,0,1
2006-01-22,0,1
2006-01-29,23,1
2006-02-05,0,1
2006-02-12,0,1
2006-02-19,0,1
2006-02-26,23,1
2006-03-05,23,1
2006-03-12,0,1
2006-03-19,12.5,2
2006-03-26,0,2
2006-04-02,0,2
2006-04-09,0,2
2006-04-16,14.5,2
2006-04-23,0,2
2006-04-30,0,2
2006-05-07,0,2
2006-05-14,0,2
2006-05-21,38.5,2
2006-05-28,0,2
2006-06-04,0,3
2006-06-11,27.333333333333332,3
2006-06-18,17,3
2006-06-25,0,3
2006-07-02,0,3
2006-07-09,0,3
2006-07-16,0,3
2006-07-23,10.666666666666666,3
2006-07-30,0,3
2006-08-06,0,3
2006-08-13,0,3
2006-08-20,11.25,4
2006-08-27,12,4
2006-09-03,0,4
2006-09-10,0,4
2006-09-17,0,4
2006-09-24,0,4
2006-10-01,0,4
2006-10-08,6.25,4
2006-10-15,15,4
2006-10-22,0,4
2006-10-29,9.75,4
2006-11-05,0,5
2006-11-12,4.4,5
2006-11-19,11.4,5
2006-11-26,0,5
2006-12-03,15.8,5
2006-12-10,0,5
2006-12-17,0,5
2006-12-24,0,5
2006-12-31,0,5
2007-01-07,0,5
2007-01-14,0,5
2007-01-21,2.5,6
2007-01-28,0,6
2007-02-04,8,6
2007-02-11,2.6666666666666665,6
2007-02-18,28.333333333333332,6
2007-02-25,14.166666666666666,6
2007-03-04,2.6666666666666665,6
2007-03-11,0,6
2007-03-18,19,6
2007-03-25,10.666666666666666,6
2007-04-01,0,6
2007-04-08,0,7
2007-04-15,0,7
2007-04-22,2.857142857142857,7
2007-04-29,16.428571428571427,7
2007-05-06,2.4285714285714284,7
2007-05-13,0,7
2007-05-20,0,7
2007-05-27,4,7
2007-06-03,7,7
2007-06-10,13,7
2007-06-17,6.571428571428571,7
2007-06-24,9.375,8
2007-07-01,2.25,8
2007-07-08,0,8
2007-07-15,2.125,8
2007-07-22,0,8
2007-07-29,4.5,8
2007-08-05,0,8
2007-08-12,0,8
2007-08-19,11.875,8
2007-08-26,12.375,8
2007-09-02,0,8
2007-09-09,0,9
2007-09-16,7.555555555555555,9
2007-09-23,0,9
2007-09-30,0,9
2007-10-07,0,9
2007-10-14,12.555555555555555,9
2007-10-21,0,9
2007-10-28,3.2222222222222223,9
2007-11-04,5.333333333333333,9
2007-11-11,3.888888888888889,9
2007-11-18,0,9
2007-11-25,2.7,10
